Roll Number,Name,Course,Branch,Gender,COMPANY,CTC (in LPA),COMPANY ,CTC (in LPA),COMPANY ,CTC (in LPA),COMPANY ,Best CTC (in LPA)
202221002,Aarav Sharma,M.Tech,EEE,Male,STM,15,,,,,STM,15
202221003,Priya Iyer,M.Tech,EEE,Female,,,,,,,,
202221004,Rohan Verma,M.Tech,EEE,Male,Intel,22,,,,,Intel,22
202221006,Ananya Gupta,M.Tech,EEE,Female,Google,22,,,,,Google,22
202221007,Vikram Nair,M.Tech,EEE,Male,Intel,22,,,,,Intel,22
202221008,Kavita Reddy,M.Tech,EEE,Female,,,,,,,,
202221009,Aditya Mishra,M.Tech,EEE,Male,Intel,22,,,,,Intel,22
202221010,Sneha Patel,M.Tech,EEE,Female,Qualcomm,32,,,,,Qualcomm,32
202221011,Rajesh Singh,M.Tech,EEE,Male,Qualcomm,32,,,,,Qualcomm,32
202221012,Pooja Choudhary,M.Tech,EEE,Female,Intel,22,,,,,Intel,22
202221013,Karan Malhotra,M.Tech,EEE,Male,Google,22,,,,,Google,22
202221014,Neha Das,M.Tech,EEE,Female,Intel,22,,,,,Intel,22
